orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,reference_no,is_extant,n_occs,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,type_taxon,type_taxon_no,n_orders,n_families,n_genera,n_species
39595,39595,txn,,family,Glareolidae,,39595,family,Glareolidae,98959,4783,extant,15,Chordata,33815,Aves,36616,Charadriiformes,36640,Glareolidae,39595,,,,,,,,8,10
98949,98949,txn,,subfamily,Cursoriinae,,98949,subfamily,Cursoriinae,39595,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Glareolidae,39595,,,,,,,,0,0
98948,98948,txn,,subfamily,Glareolinae,,98948,subfamily,Glareolinae,39595,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Glareolidae,39595,,,,,,,,0,0
98961,98961,txn,,infraorder,Alcides,,98961,infraorder,Alcides,98959,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,0,0,0
39587,39587,txn,,family,Recurvirostridae,,39587,family,Recurvirostridae,36640,4783,extant,22,Chordata,33815,Aves,36616,Charadriiformes,36640,Recurvirostridae,39587,,,,,,,,6,10
98955,98955,txn,,subfamily,Recurvirostrinae,,98955,subfamily,Recurvirostrinae,39587,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Recurvirostridae,39587,,,,,,,,0,0
98956,98956,txn,,subfamily,Himantopodinae,,98956,subfamily,Himantopodinae,39587,24173,extant,1,Chordata,33815,Aves,36616,Charadriiformes,36640,Recurvirostridae,39587,,,,,,,,2,1
98958,98958,txn,,tribe,Cladorhynchini,,98958,tribe,Cladorhynchini,98956,24173,extant,1,Chordata,33815,Aves,36616,Charadriiformes,36640,Recurvirostridae,39587,,,,Cladorhynchus,99154,,,1,1
98957,98957,txn,,tribe,Himantopodini,,98957,tribe,Himantopodini,98956,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Recurvirostridae,39587,,,,,,,,0,0
134699,134699,txn,,family,Telmatornithidae,,134699,family,Telmatornithidae,36640,28327,extinct,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Telmatornithidae,134699,,,,Telmatornis,36649,,,0,0
98936,98936,txn,,suborder,Parrae,,98936,suborder,Parrae,36640,24173,extant,2,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,1,2,3
39575,39575,txn,,family,Rostratulidae,,39575,family,Rostratulidae,98936,4783,extant,2,Chordata,33815,Aves,36616,Charadriiformes,36640,Rostratulidae,39575,,,,,,,,2,3
39579,39579,txn,,family,Jacanidae,,39579,family,Jacanidae,36640,4783,extant,13,Chordata,33815,Aves,36616,Charadriiformes,36640,Jacanidae,39579,,,,,,,,7,10
39571,39571,txn,,family,Graculavidae,,39571,family,Graculavidae,36640,4783,extinct,10,Chordata,33815,Aves,36616,Charadriiformes,36640,Graculavidae,39571,,,,Graculavus,36642,,,2,3
98935,98935,txn,,suborder,Pedionomae,,98935,suborder,Pedionomae,36640,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,0,0,0
272005,272005,txn,,family,Qianshanornithidae,,272005,family,Qianshanornithidae,36616,47334,,1,Chordata,33815,Aves,36616,NO_ORDER_SPECIFIED,NO,Qianshanornithidae,272005,,,,Qianshanornis,272004,,,1,1
203297,203297,txn,,order,Mystiornithiformes,,203297,order,Mystiornithiformes,36616,38196,,1,Chordata,33815,Aves,36616,Mystiornithiformes,203297,,,,,,,,,1,1,1
203296,203296,txn,,family,Mystiornithidae,,203296,family,Mystiornithidae,203297,38196,,1,Chordata,33815,Aves,36616,Mystiornithiformes,203297,Mystiornithidae,203296,,,,,,,,1,1
197832,197832,txn,,family,Liaoxiornithidae,,197832,family,Liaoxiornithidae,36616,37362,extinct,0,Chordata,33815,Aves,36616,NO_ORDER_SPECIFIED,NO,Liaoxiornithidae,197832,,,,,,,,0,0
388108,388108,txn,,subclass,Praeornithes,,388108,subclass,Praeornithes,36616,18352,extinct,1,Chordata,33815,Aves,36616,,,,,,,,,,1,1,1,1
388107,388107,txn,,order,Praeornithiformes,,388107,order,Praeornithiformes,388108,18352,extinct,1,Chordata,33815,Aves,36616,Praeornithiformes,388107,,,,,,,,,1,1,1
388106,388106,txn,,family,Praeornithidae,,388106,family,Praeornithidae,388107,18352,extinct,1,Chordata,33815,Aves,36616,Praeornithiformes,388107,Praeornithidae,388106,,,,Praeornis,388104,,,1,1
388087,388087,txn,,family,Kuszholiidae,,388087,family,Kuszholiidae,36616,18352,extinct,0,Chordata,33815,Aves,36616,NO_ORDER_SPECIFIED,NO,Kuszholiidae,388087,,,,Kuszholia,322035,,,0,0
82613,82613,txn,,unranked clade,Pygostylia,,82613,unranked clade,Pygostylia,36616,18001,extant,432,Chordata,33815,Aves,36616,,,,,,,,,,28,33,170,197
67263,67263,txn,,order,Confuciusornithiformes,,67263,order,Confuciusornithiformes,82613,6983,extinct,24,Chordata,33815,Aves,36616,Confuciusornithiformes,67263,,,,,,,,,1,5,7
67262,67262,txn,,family,Confuciusornithidae,,67262,family,Confuciusornithidae,67263,6983,extinct,24,Chordata,33815,Aves,36616,Confuciusornithiformes,67263,Confuciusornithidae,67262,,,,Confuciusornis,67260,,,5,7
119250,119250,txn,,order,Sapeornithiformes,,119250,order,Sapeornithiformes,82613,26669,extinct,0,Chordata,33815,Aves,36616,Sapeornithiformes,119250,,,,,,,,,1,1,0
119251,119251,txn,,family,Sapeornithidae,,119251,family,Sapeornithidae,119250,26669,extinct,0,Chordata,33815,Aves,36616,Sapeornithiformes,119250,Sapeornithidae,119251,,,,Sapeornis,119248,,,0,0
64115,64115,txn,,unranked clade,Ornithothoraces,,64115,unranked clade,Ornithothoraces,82613,6046,extant,400,Chordata,33815,Aves,36616,,,,,,,,,,26,30,161,187
71780,393762,txn,,unranked clade,Euornithes,,71780,unranked clade,Euornithes,64115,16697,extant,0,Chordata,33815,Aves,36616,,,,,,,,,,6,0,0,0
393803,393803,txn,,order,Picariae,,393803,order,Picariae,71780,15348,extant,0,Chordata,33815,Aves,36616,Picariae,393803,,,,,,,,,0,0,0
393763,393763,txn,,order,Cecomorphae,,393763,order,Cecomorphae,71780,15348,extant,0,Chordata,33815,Aves,36616,Cecomorphae,393763,,,,,,,,,0,0,0
335556,393765,txn,,order,Pygopodes,subjective synonym of,393763,order,Cecomorphae,71780,15348,extant,0,Chordata,33815,Aves,36616,Cecomorphae,393763,,,,,,,,,0,0,0
393769,393769,txn,,superfamily,Alcoidea,,393769,superfamily,Alcoidea,393763,15348,extant,0,Chordata,33815,Aves,36616,Cecomorphae,393763,,,,,,,,,0,0,0
393767,393767,txn,,superfamily,Colymboidea,,393767,superfamily,Colymboidea,393763,15348,extant,0,Chordata,33815,Aves,36616,Cecomorphae,393763,,,,,,Colymbus,83341,,0,0,0
393776,393776,txn,,order,Chenomorphae,,393776,order,Chenomorphae,71780,15348,extant,0,Chordata,33815,Aves,36616,Chenomorphae,393776,,,,,,,,,0,0,0
393782,393782,txn,,superfamily,Phoenicopteroidea,,393782,superfamily,Phoenicopteroidea,393776,15348,extant,0,Chordata,33815,Aves,36616,Chenomorphae,393776,,,,,,Phoenicopterus,39594,,0,0,0
393787,393787,txn,,order,Gallinae,,393787,order,Gallinae,71780,15348,extant,0,Chordata,33815,Aves,36616,Gallinae,393787,,,,,,,,,0,0,0
393788,393788,txn,,suborder,Alectoropodes,,393788,suborder,Alectoropodes,393787,15348,extant,0,Chordata,33815,Aves,36616,Gallinae,393787,,,,,,,,,0,0,0
335564,393783,txn,,order,Herodii,,335564,order,Herodii,71780,15348,extant,0,Chordata,33815,Aves,36616,Herodii,335564,,,,,,,,,0,0,0
393784,393784,txn,,superfamily,Ardeoidea,,393784,superfamily,Ardeoidea,335564,15348,extant,0,Chordata,33815,Aves,36616,Herodii,335564,,,,,,Ardea,39542,,0,0,0
103971,103971,txn,,order,Grallae,,103971,order,Grallae,71780,12782,extant,0,Chordata,33815,Aves,36616,Grallae,103971,,,,,,,,,0,0,0
82614,82614,txn,,unranked clade,Ornithuromorpha,,82614,unranked clade,Ornithuromorpha,64115,18001,extant,219,Chordata,33815,Aves,36616,,,,,,,,,,9,13,63,84
166850,166850,txn,,family,Hongshanornithidae,,166850,family,Hongshanornithidae,82614,32618,extinct,8,Chordata,33815,Aves,36616,NO_ORDER_SPECIFIED,NO,Hongshanornithidae,166850,,,,,,,,7,7
137276,137276,txn,,subclass,Ornithurae,,137276,subclass,Ornithurae,82614,35418,extant,178,Chordata,33815,Aves,36616,,,,,,,,,,9,10,31,51
137274,137274,txn,,infraclass,Odontoholcae,,137274,infraclass,Odontoholcae,137276,28688,extinct,0,Chordata,33815,Aves,36616,,,,,,,,,,0,0,0,0
436544,436544,txn,,family,Gargantuaviidae,,436544,family,Gargantuaviidae,137276,76673,extinct,7,Chordata,33815,Aves,36616,NO_ORDER_SPECIFIED,NO,Gargantuaviidae,436544,,,,,,,,1,1
367643,367643,txn,,order,Dromaeognathae,,367643,order,Dromaeognathae,137276,65100,extinct,0,Chordata,33815,Aves,36616,Dromaeognathae,367643,,,,,,,,,0,0,0
