,years ma,Arthropoda,Brachiopoda,Foraminifera,Echinodermata,Porifera,Chordata,Mollusca,Bryozoa,Cnidaria,Hyolitha,Problematica,Agmata,Priapulida,Hemichordata,Annelida,Rhodophyta,Lophotrochozoa,Chlorophyta,Cyanobacteria,Ciliophora,Haptophyta,Radiolaria,Lycopodophyta,Bryophyta,Prasinophyta,Onychophora,Lycophyta,Chaetognatha,Proarticulata,Psilophytophyta,Thallophyta,Zosterophyllophyta,Pteridophyta,Tracheophyta,Pinophyta,Coniferophyta,Gymnospermophyta,Ginkgophyta,Lycopodiophyta,Pteridospermophyta,Sphenophyta,Equisetophyta,Angiospermae,Peltaspermophyta,Ochrophyta,Cycadophyta,Spermatophyta,Aneurophytophyta,Phaeophyta,Charophyta,Rhizopodea,Cladoxylophyta,Progymnospermophyta,Magnoliophyta,Gnetophyta,Cycadeoideophyta,Filicophyta,Sipuncula,Myzozoa,Isoetophyta,Anthocerophyta,Cercozoa,Vetulicolia,Ctenophora,Entoprocta,Nematoda,Platyhelminthes,Tardigrada
382,383,1388,9054,15,324,999,276,5034,736,3650,17,13,0,0,14,22,6,247,14,43,0,0,23,44,25,0,0,35,0,0,157,12,2,118,95,2,5,2,1,6,6,11,0,0,0,0,0,0,25,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,384,1423,9203,27,393,1071,225,5017,766,4034,17,12,0,0,14,25,6,246,18,46,0,0,23,46,29,0,0,44,0,0,195,14,1,151,77,2,2,1,0,17,6,30,0,0,0,0,1,0,23,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,385,1423,9203,27,393,1071,225,5017,766,4034,17,12,0,0,14,25,6,246,18,46,0,0,23,46,29,0,0,44,0,0,195,14,1,151,77,2,2,1,0,17,6,30,0,0,0,0,1,0,23,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,386,1423,9203,27,393,1071,225,5017,766,4034,17,12,0,0,14,25,6,246,18,46,0,0,23,46,29,0,0,44,0,0,195,14,1,151,77,2,2,1,0,17,6,30,0,0,0,0,1,0,23,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,387,1423,9203,27,393,1071,225,5017,766,4034,17,12,0,0,14,25,6,246,18,46,0,0,23,46,29,0,0,44,0,0,195,14,1,151,77,2,2,1,0,17,6,30,0,0,0,0,1,0,23,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,388,1051,4011,31,289,613,517,2096,210,2931,16,12,0,0,10,26,4,251,16,31,0,0,26,38,29,0,0,20,0,0,176,16,2,111,57,1,2,0,0,12,2,31,0,0,0,0,1,0,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,389,1010,3506,10,194,398,480,1961,173,2340,16,12,0,0,10,25,3,249,10,23,0,0,26,37,11,0,0,12,0,0,127,14,2,54,49,1,1,0,0,6,1,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,390,1010,3506,10,194,398,480,1961,173,2340,16,12,0,0,10,25,3,249,10,23,0,0,26,37,11,0,0,12,0,0,127,14,2,54,49,1,1,0,0,6,1,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,391,1010,3506,10,194,398,480,1961,173,2340,16,12,0,0,10,25,3,249,10,23,0,0,26,37,11,0,0,12,0,0,127,14,2,54,49,1,1,0,0,6,1,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,392,1507,4523,21,250,445,606,2312,189,2592,16,12,0,0,33,23,4,351,11,23,0,0,26,37,11,0,0,12,0,0,127,14,2,54,50,1,1,0,0,6,1,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,393,1507,4523,21,250,445,606,2312,189,2592,16,12,0,0,33,23,4,351,11,23,0,0,26,37,11,0,0,12,0,0,127,14,2,54,50,1,1,0,0,6,1,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,394,1369,3188,12,218,365,314,1417,82,1492,37,3,0,0,42,14,4,333,12,18,0,0,7,8,22,0,0,1,0,0,200,5,1,12,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,395,1369,3188,12,218,365,314,1417,82,1492,37,3,0,0,42,14,4,333,12,18,0,0,7,8,22,0,0,1,0,0,200,5,1,12,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,396,1369,3188,12,218,365,314,1417,82,1492,37,3,0,0,42,14,4,333,12,18,0,0,7,8,22,0,0,1,0,0,200,5,1,12,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,397,1369,3188,12,218,365,314,1417,82,1492,37,3,0,0,42,14,4,333,12,18,0,0,7,8,22,0,0,1,0,0,200,5,1,12,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,398,1369,3188,12,218,365,314,1417,82,1492,37,3,0,0,42,14,4,333,12,18,0,0,7,8,22,0,0,1,0,0,200,5,1,12,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,399,1369,3188,12,218,365,314,1417,82,1492,37,3,0,0,42,14,4,333,12,18,0,0,7,8,22,0,0,1,0,0,200,5,1,12,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,400,1369,3188,12,218,365,314,1417,82,1492,37,3,0,0,42,14,4,333,12,18,0,0,7,8,22,0,0,1,0,0,200,5,1,12,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,401,1369,3188,12,218,365,314,1417,82,1492,37,3,0,0,42,14,4,333,12,18,0,0,7,8,22,0,0,1,0,0,200,5,1,12,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,402,1369,3188,12,218,365,314,1417,82,1492,37,3,0,0,42,14,4,333,12,18,0,0,7,8,22,0,0,1,0,0,200,5,1,12,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,403,1284,3442,5,352,357,330,1209,70,1494,38,3,0,0,44,16,6,293,19,22,0,0,7,9,27,0,0,2,0,0,206,5,1,18,28,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,404,1284,3442,5,352,357,330,1209,70,1494,38,3,0,0,44,16,6,293,19,22,0,0,7,9,27,0,0,2,0,0,206,5,1,18,28,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,405,1284,3442,5,352,357,330,1209,70,1494,38,3,0,0,44,16,6,293,19,22,0,0,7,9,27,0,0,2,0,0,206,5,1,18,28,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,406,1284,3442,5,352,357,330,1209,70,1494,38,3,0,0,44,16,6,293,19,22,0,0,7,9,27,0,0,2,0,0,206,5,1,18,28,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,407,1284,3442,5,352,357,330,1209,70,1494,38,3,0,0,44,16,6,293,19,22,0,0,7,9,27,0,0,2,0,0,206,5,1,18,28,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,408,1813,3791,5,346,335,356,959,63,1587,8,5,0,0,66,11,11,349,26,47,0,0,3,7,26,1,0,1,0,0,241,2,0,10,84,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,409,1813,3791,5,346,335,356,959,63,1587,8,5,0,0,66,11,11,349,26,47,0,0,3,7,26,1,0,1,0,0,241,2,0,10,84,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,410,1382,2900,1,190,309,221,783,66,1437,7,5,0,0,57,8,8,291,18,43,0,0,3,6,21,1,0,0,0,0,230,2,0,2,83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,411,972,3801,3,291,310,686,952,62,1389,8,4,0,0,149,9,3,162,9,27,0,0,0,0,17,0,0,0,0,0,168,2,0,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,412,972,3801,3,291,310,686,952,62,1389,8,4,0,0,149,9,3,162,9,27,0,0,0,0,17,0,0,0,0,0,168,2,0,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
