orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,reference_no,is_extant,n_occs,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,type_taxon,type_taxon_no,n_orders,n_families,n_genera,n_species
313241,313241,txn,,species,Damalasaurus magnus,,313241,species,Damalasaurus magnus,313240,46057,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Damalasaurus,313240,,,,,,,
67726,67726,txn,,genus,Nurosaurus,nomen nudum,38653,unranked clade,Sauropoda,38653,13360,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Nurosaurus,67726,,,,,,,0
67727,67727,txn,,species,Nurosaurus qaganensis,nomen nudum,38653,unranked clade,Sauropoda,67726,13360,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Nurosaurus,67726,,,,,,,
52963,52963,txn,,species,Titanosaurus montanus,nomen dubium,38653,unranked clade,Sauropoda,38653,7812,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
72283,72283,txn,,species,Morinosaurus priscus,nomen dubium,38653,unranked clade,Sauropoda,38653,19135,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
64329,64329,txn,,species,Titanosaurus lydekkeri,nomen dubium,38653,unranked clade,Sauropoda,38653,59060,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
52964,52964,txn,,genus,Atlantosaurus,nomen dubium,38653,unranked clade,Sauropoda,38653,7811,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Atlantosaurus,52964,,Titanosaurus montanus,52963,,,,0
66270,66270,txn,,genus,Clasmodosaurus,nomen dubium,38653,unranked clade,Sauropoda,38653,13712,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Clasmodosaurus,66270,,Clasmodosaurus spatula,66271,,,,0
63794,63794,txn,,species,Brachiosaurus nougaredi,nomen dubium,38653,unranked clade,Sauropoda,38653,7056,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
56465,56466,txn,,species,Mamenchisaurus fuxiensis,nomen dubium,38653,unranked clade,Sauropoda,38653,13842,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
67032,67032,txn,,family,Ornithopsidae,,67032,family,Ornithopsidae,38653,14166,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,Ornithopsidae,67032,,,,Ornithopsis,52990,,,0,0
38651,38651,txn,,family,Blikanasauridae,,38651,family,Blikanasauridae,38653,9521,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,Blikanasauridae,38651,,,,,,,,0,0
71877,71877,txn,,family,Tendaguriidae,,71877,family,Tendaguriidae,38653,16740,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,Tendaguriidae,71877,,,,Tendaguria,71876,,,0,0
54865,54865,txn,,superfamily,Bothrosauropodoidea,,54865,superfamily,Bothrosauropodoidea,38653,9264,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,,,,,,,,,0,0,0
52999,52999,txn,,superfamily,Homalosauropodidae,,52999,superfamily,Homalosauropodidae,38653,15533,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,Homalosauropodidae,52999,,,,,,,0,0,0
68589,68589,txn,,family,Haplocanthosauridae,,68589,family,Haplocanthosauridae,38653,15138,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,Haplocanthosauridae,68589,,,,Haplocanthosaurus,38658,,,0,0
